regione,età,value
Lombardia,31,110812
Friuli-Venezia Giulia,31,12010
Provincia Autonoma Trento,31,5995
Emilia-Romagna,31,46883
Toscana,31,38395
Umbria,31,9336
Marche,31,15725
Lazio,31,63705
Abruzzo,31,14409
Molise,31,3386
Campania,31,71677
Puglia,31,45508
Basilicata,31,6504
Calabria,31,23922
Sicilia,31,58784
Sardegna,31,17235
Piemonte,31,44185
Valle d'Aosta / Vallée d'Aoste,32,1241
Liguria,32,14198
Lombardia,32,109093
Provincia Autonoma Bolzano / Bozen,32,5920
Veneto,32,49585
Provincia Autonoma Trento,32,5977
Friuli-Venezia Giulia,32,11537
Emilia-Romagna,32,46864
Toscana,32,37573
Umbria,32,9027
Marche,32,15373
Lazio,32,63408
Sicilia,32,57281
Sardegna,32,17404
Piemonte,32,43190
Abruzzo,32,14156
Molise,32,3428
Puglia,32,44564
Campania,32,69391
Basilicata,32,6418
Calabria,32,23467
Piemonte,33,43888
Valle d'Aosta / Vallée d'Aoste,33,1244
Liguria,33,14100
Lombardia,33,110118
Provincia Autonoma Bolzano / Bozen,33,6050
Provincia Autonoma Trento,33,5873
Veneto,33,50111
Friuli-Venezia Giulia,33,11856
Emilia-Romagna,33,47438
Toscana,33,37676
Umbria,33,9190
Marche,33,15931
Lazio,33,63823
Abruzzo,33,14547
Molise,33,3340
Campania,33,68832
Puglia,33,44199
Basilicata,33,6253
Calabria,33,23184
Sicilia,33,57332
Sardegna,33,17417
Emilia-Romagna,34,49328
Toscana,34,39462
Marche,34,16290
Lazio,34,66870
Abruzzo,34,14947
Molise,34,3438
Campania,34,70390
Piemonte,34,45113
Umbria,34,9496
Puglia,34,44234
Basilicata,34,6513
Calabria,34,23295
Sicilia,34,57824
Sardegna,34,18119
Valle d'Aosta / Vallée d'Aoste,34,1299
Provincia Autonoma Trento,34,6031
Liguria,34,14741
Friuli-Venezia Giulia,34,12394
Provincia Autonoma Bolzano / Bozen,34,6178
Lombardia,34,113852
Veneto,34,52727
Piemonte,35,45395
Valle d'Aosta / Vallée d'Aoste,35,1310
Liguria,35,14620
Lombardia,35,116544
Provincia Autonoma Bolzano / Bozen,35,6180
Provincia Autonoma Trento,35,6084
Veneto,35,52812
Friuli-Venezia Giulia,35,12598
Emilia-Romagna,35,50482
Toscana,35,40126
Umbria,35,9619
Marche,35,16481
Lazio,35,69063
Abruzzo,35,15232
Molise,35,3427
Campania,35,71437
Puglia,35,45872
Basilicata,35,6639
Calabria,35,23663
Sicilia,35,58992
Sardegna,35,18438
Piemonte,36,46805
Liguria,36,15011
Provincia Autonoma Trento,36,6273
Molise,36,3479
Campania,36,72005
Puglia,36,46187
Basilicata,36,6540
Calabria,36,23522
Sicilia,36,58231
Sardegna,36,18942
Valle d'Aosta / Vallée d'Aoste,36,1383
Lombardia,36,119588
Provincia Autonoma Bolzano / Bozen,36,6356
Veneto,36,53983
Friuli-Venezia Giulia,36,12650
Emilia-Romagna,36,51621
Toscana,36,41282
Umbria,36,10280
Marche,36,17006
Lazio,36,70605
Abruzzo,36,15229
Umbria,37,10214
Marche,37,17745
Lazio,37,73521
Puglia,37,47711
Piemonte,37,48704
Valle d'Aosta / Vallée d'Aoste,37,1409
Liguria,37,14994
Lombardia,37,124112
Provincia Autonoma Bolzano / Bozen,37,6715
Provincia Autonoma Trento,37,6344
Veneto,37,56135
Friuli-Venezia Giulia,37,13386
Emilia-Romagna,37,53200
Toscana,37,42516
Abruzzo,37,15931
Molise,37,3583
Campania,37,73816
Basilicata,37,6627
Calabria,37,23993
Sicilia,37,60130
Sardegna,37,19990
Abruzzo,38,15835
Molise,38,3645
Campania,38,72941
Puglia,38,48430
Basilicata,38,6599
Calabria,38,23949
Sicilia,38,60229
Sardegna,38,20050
Piemonte,38,48902
Valle d'Aosta / Vallée d'Aoste,38,1329
Liguria,38,15667
Lombardia,38,124995
Provincia Autonoma Bolzano / Bozen,38,6746
Provincia Autonoma Trento,38,6210
Veneto,38,57256
Friuli-Venezia Giulia,38,13489
Emilia-Romagna,38,53613
Toscana,38,43111
Umbria,38,10491
Marche,38,17844
Lazio,38,74362
Piemonte,39,50271
Valle d'Aosta / Vallée d'Aoste,39,1440
Liguria,39,15533
Lombardia,39,127531
Provincia Autonoma Bolzano / Bozen,39,6727
Provincia Autonoma Trento,39,6408
Veneto,39,58838
Friuli-Venezia Giulia,39,14008
Emilia-Romagna,39,55662
Toscana,39,44417
Umbria,39,10592
Marche,39,18625
Lazio,39,75841
Abruzzo,39,16291
Molise,39,3586
Campania,39,73987
Puglia,39,49839
Basilicata,39,6613
Sicilia,39,62407
Calabria,39,24259
Sardegna,39,20855
Toscana,40,46583
Emilia-Romagna,40,57998
Abruzzo,40,16930
Lazio,40,78238
Piemonte,40,51568
Valle d'Aosta / Vallée d'Aoste,40,1424
Liguria,40,16270
Lombardia,40,130774
Provincia Autonoma Bolzano / Bozen,40,6593
Provincia Autonoma Trento,40,6586
Veneto,40,61341
Friuli-Venezia Giulia,40,14391
Umbria,40,11014
Marche,40,19450
Molise,40,3797
Campania,40,75640
Puglia,40,52533
Basilicata,40,6768
Calabria,40,24826
Sicilia,40,63097
Sardegna,40,21050
Piemonte,41,55153
Valle d'Aosta / Vallée d'Aoste,41,1708
Liguria,41,17586
Lombardia,41,138105
Provincia Autonoma Bolzano / Bozen,41,6778
Provincia Autonoma Trento,41,7105
Veneto,41,65589
Friuli-Venezia Giulia,41,15664
Emilia-Romagna,41,61720
Toscana,41,49404
Umbria,41,11605
Marche,41,20699
Lazio,41,82513
Abruzzo,41,17594
Molise,41,3902
Puglia,41,54289
Basilicata,41,7219
Calabria,41,25160
Campania,41,77715
Sicilia,41,64894
Sardegna,41,23090
Friuli-Venezia Giulia,42,15915
Emilia-Romagna,42,64322
Toscana,42,51276
Piemonte,42,58102
Valle d'Aosta / Vallée d'Aoste,42,1659
Liguria,42,18607
Lombardia,42,144006
Provincia Autonoma Bolzano / Bozen,42,6752
Provincia Autonoma Trento,42,7228
Veneto,42,68034
Umbria,42,12087
Marche,42,21294
Lazio,42,84090
Abruzzo,42,17738
Molise,42,3963
Campania,42,79245
Puglia,42,56482
Basilicata,42,7361
Calabria,42,25690
Sicilia,42,65838
Sardegna,42,23517
Piemonte,43,60774
Valle d'Aosta / Vallée d'Aoste,43,1782
Liguria,43,19788
Lombardia,43,149545
Provincia Autonoma Bolzano / Bozen,43,6958
Provincia Autonoma Trento,43,7589
Veneto,43,71149
Friuli-Venezia Giulia,43,16874
Emilia-Romagna,43,67516
Toscana,43,53755
Marche,43,21904
Umbria,43,12424
Lazio,43,87658
Abruzzo,43,18493
Molise,43,4066
Campania,43,82208
Puglia,43,58656
Basilicata,43,7870
Calabria,43,26939
Sicilia,43,69048
Sardegna,43,24468
Piemonte,44,64456
Valle d'Aosta / Vallée d'Aoste,44,1841
Liguria,44,21177
Lombardia,44,159303
Abruzzo,44,19005
Molise,44,4324
Campania,44,85009
Puglia,44,60241
Basilicata,44,7989
Calabria,44,26861
Sicilia,44,70808
Sardegna,44,25721
Provincia Autonoma Bolzano / Bozen,44,7433
Provincia Autonoma Trento,44,7878
Veneto,44,74794
Friuli-Venezia Giulia,44,17871
Emilia-Romagna,44,70994
Toscana,44,56570
Umbria,44,13041
Marche,44,23021
Lazio,44,92094
Piemonte,45,67320
Toscana,45,59349
Valle d'Aosta / Vallée d'Aoste,45,1955
Umbria,45,13644
Liguria,45,22576
Lombardia,45,164177
Provincia Autonoma Bolzano / Bozen,45,7881
Provincia Autonoma Trento,45,8348
Veneto,45,79530
Friuli-Venezia Giulia,45,19320
Emilia-Romagna,45,74067
Marche,45,23585
Lazio,45,95799
Abruzzo,45,19819
Molise,45,4499
Campania,45,87943
Puglia,45,61782
Basilicata,45,8189
Calabria,45,27183
Sicilia,45,73357
Sardegna,45,26868
Provincia Autonoma Bolzano / Bozen,46,7970
Provincia Autonoma Trento,46,8302
Veneto,46,78989
Friuli-Venezia Giulia,46,19133
Emilia-Romagna,46,74043
Toscana,46,59592
Umbria,46,13561
Marche,46,23247
Lazio,46,95794
Abruzzo,46,19575
Molise,46,4340
Campania,46,86661
Puglia,46,59871
Basilicata,46,8059
Calabria,46,27117
Sicilia,46,72020
Sardegna,46,26881
Piemonte,47,68869
Valle d'Aosta / Vallée d'Aoste,47,2017
Liguria,47,24222
Lombardia,47,165437
Provincia Autonoma Bolzano / Bozen,47,8319
Provincia Autonoma Trento,47,8194
Veneto,47,80178
Friuli-Venezia Giulia,47,19738
Emilia-Romagna,47,74226
Toscana,47,60095
Umbria,47,13400
Marche,47,23494
Lazio,47,96772
Abruzzo,47,20194
Molise,47,4457
Campania,47,87234
Puglia,47,58990
Basilicata,47,8244
Calabria,47,27347
Sicilia,47,72415
Sardegna,47,26575
Piemonte,48,69993
Valle d'Aosta / Vallée d'Aoste,48,2102
Liguria,48,24490
Lombardia,48,165584
Provincia Autonoma Bolzano / Bozen,48,8499
Provincia Autonoma Trento,48,8577
Veneto,48,81203
Friuli-Venezia Giulia,48,19782
Emilia-Romagna,48,74728
Toscana,48,60564
Umbria,48,13633
Marche,48,24262
Lazio,48,96727
Abruzzo,48,20558
Molise,48,4428
Campania,48,87685
Puglia,48,60408
Basilicata,48,8326
Calabria,48,27763
Sicilia,48,73849
Sardegna,48,26547
Piemonte,46,67215
Valle d'Aosta / Vallée d'Aoste,46,2003
Liguria,46,22990
Lombardia,46,164021
Piemonte,49,69295
Valle d'Aosta / Vallée d'Aoste,49,2064
Liguria,49,24664
Lombardia,49,164121
Provincia Autonoma Bolzano / Bozen,49,8481
Provincia Autonoma Trento,49,8281
Veneto,49,81245
Friuli-Venezia Giulia,49,19989
Emilia-Romagna,49,73698
Toscana,49,59479
Umbria,49,13423
Marche,49,23494
Lazio,49,96643
Abruzzo,49,20154
Molise,49,4438
Campania,49,86257
Puglia,49,60040
Basilicata,49,8442
Calabria,49,27531
Sicilia,49,73113
Sardegna,49,26213
Toscana,50,61065
Umbria,50,13860
Marche,50,24388
Lazio,50,97972
Abruzzo,50,21054
Molise,50,4683
Campania,50,88559
Basilicata,50,8681
Calabria,50,29051
Sicilia,50,75468
Sardegna,50,27069
Piemonte,50,71752
Valle d'Aosta / Vallée d'Aoste,50,2201
Liguria,50,25246
Lombardia,50,168262
Provincia Autonoma Bolzano / Bozen,50,8896
Provincia Autonoma Trento,50,8738
Veneto,50,83349
Friuli-Venezia Giulia,50,20071
Emilia-Romagna,50,74376
Puglia,50,61584
Piemonte,51,71239
Valle d'Aosta / Vallée d'Aoste,51,2112
Liguria,51,25485
Lombardia,51,167340
Provincia Autonoma Bolzano / Bozen,51,8770
Provincia Autonoma Trento,51,8707
Veneto,51,82398
Friuli-Venezia Giulia,51,19983
Emilia-Romagna,51,73973
Toscana,51,60195
Umbria,51,13812
Marche,51,24050
Lazio,51,96850
Abruzzo,51,20872
Molise,51,4695
Campania,51,88490
Puglia,51,61788
Basilicata,51,8756
Calabria,51,28619
Sicilia,51,74499
Sardegna,51,26348
Piemonte,52,71191
Valle d'Aosta / Vallée d'Aoste,52,2175
Liguria,52,25351
Lombardia,52,166682
Provincia Autonoma Bolzano / Bozen,52,8578
